ORDER_ID,ORDER_DATE,REGION,CATEGORY,PRODUCT_NAME,UNIT_PRICE,QUANTITY,PAYMENT_METHOD,CUSTOMER_ID,CUSTOMER_SEGMENT,STORE_ID,DELIVERY_DAYS,TOTAL_PRICE,PROMISED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,DELIVERY_STATUS
ORD100000,1/1/2019,South,Furniture,Urban Ladder Sofa,1530,1,Card,8907,Premiun,11,7,1530,1/8/2019,1/9/2019,Late
ORD100001,1/1/2019,South,Toy,LEGO Classic,1934,1,Wallet,2598,Premiun,14,2,1934,1/3/2019,1/3/2019,OnTime
ORD100002,1/1/2019,North,Grocery,Amul Milk,1493,4,Wallet,4851,New,6,6,5972,1/7/2019,1/6/2019,OnTime
ORD100003,1/2/2019,South,Toy,Monopoly Board Game,956,1,Cash,8582,New,10,Five,956,1/7/2019,1/9/2019,Late
ORD100004,1/2/2019,South,Toy,Hot Wheels Set,1564,2,upi,8823,Premiun,7,6,3128,1/8/2019,1/10/2019,Late
ORD100005,1/2/2019,East,Clothing,Levi's 511 Jeans,880,2,upi,5607,Premiun,10,2,1760,1/4/2019,1/5/2019,Late
ORD100006,1/3/2019,West,Grocery,Fortune Oil,995,3,Card,6507,Regular,14,2,2985,1/5/2019,1/7/2019,Late
ORD100007,1/3/2019,East,Grocery,Amul Milk,1019,1,Cash,6934,Regular,5,3,1019,1/6/2019,1/6/2019,OnTime
ORD100008,1/3/2019,West,Grocery,India Gate Basmati Rice,1774,5,Cash,6568,Regular,1,6,8870,1/9/2019,1/8/2019,OnTime
ORD100009,1/4/2019,East,Toy,Barbie Dreamhouse,663,5,upi,5659,Regular,19,Five,3315,1/9/2019,1/8/2019,OnTime
ORD100010,1/4/2019,???,Furniture,Nilkamal Table,1652,4,upi,5398,New,8,6,6608,1/10/2019,1/12/2019,Late
ORD100011,1/4/2019,South,Grocery,Fortune Oil,1800,3,Card,7242,Regular,19,7,5400,1/11/2019,1/10/2019,OnTime
ORD100012,1/5/2019,West,Books,The Psychology of Money,112,5,upi,7611,Regular,17,6,560,1/11/2019,1/11/2019,OnTime
